indice_muestra,y_true,mean_probs,std_probs,y_pred_threshold
1,"[1.0, 0.0]","[0.8166413903236389, 0.19098524749279022]","[0.04195801168680191, 0.04350849986076355]","[1, 0]"
5,"[1.0, 0.0]","[0.9556891918182373, 0.04382120072841644]","[0.037421729415655136, 0.039708055555820465]","[1, 0]"
22,"[1.0, 0.0]","[0.9068580865859985, 0.09688007086515427]","[0.05250275880098343, 0.05507180839776993]","[1, 0]"
24,"[1.0, 0.0]","[0.9238755702972412, 0.07258672267198563]","[0.07375460118055344, 0.0726420134305954]","[1, 0]"
28,"[1.0, 0.0]","[0.9964298009872437, 0.0032975703943520784]","[0.0037201715167611837, 0.003690235549584031]","[1, 0]"
36,"[1.0, 0.0]","[0.9717410206794739, 0.029605165123939514]","[0.024660874158143997, 0.026426447555422783]","[1, 0]"
38,"[1.0, 0.0]","[0.9738227725028992, 0.025858916342258453]","[0.042172614485025406, 0.04479368031024933]","[1, 0]"
42,"[1.0, 0.0]","[0.8154823184013367, 0.19337649643421173]","[0.04930019751191139, 0.051224540919065475]","[1, 0]"
52,"[1.0, 0.0]","[0.9742096662521362, 0.02751024067401886]","[0.02289740927517414, 0.024709533900022507]","[1, 0]"
54,"[1.0, 0.0]","[0.7031282186508179, 0.29155102372169495]","[0.11527232080698013, 0.1207326352596283]","[1, 0]"
