indice_muestra,y_true,mean_probs,std_probs,y_pred_threshold
0,"[0.0, 1.0, 0.0]","[0.03945246338844299, 0.8095863461494446, 0.200774684548378]","[0.030076315626502037, 0.03634607791900635, 0.03042621910572052]","[0, 1, 0]"
3,"[0.0, 1.0, 0.0]","[0.13033132255077362, 0.8254587054252625, 0.0690411850810051]","[0.013083438389003277, 0.008581737987697124, 0.05281825363636017]","[0, 1, 0]"
14,"[0.0, 1.0, 0.0]","[0.09839381277561188, 0.8386474847793579, 0.04507134109735489]","[0.027969693765044212, 0.024818602949380875, 0.04199681803584099]","[0, 1, 0]"
18,"[1.0, 0.0, 0.0]","[0.13527455925941467, 0.8200708627700806, 0.059734392911195755]","[0.008687691763043404, 0.005459900479763746, 0.036783184856176376]","[0, 1, 0]"
37,"[0.0, 1.0, 0.0]","[0.10407263040542603, 0.8463208079338074, 0.07903897017240524]","[0.03505320847034454, 0.03540227189660072, 0.033611539751291275]","[0, 1, 0]"
40,"[0.0, 1.0, 0.0]","[0.14376617968082428, 0.8120144605636597, 0.07939045131206512]","[0.009790531359612942, 0.0032895475160330534, 0.03920614346861839]","[0, 1, 0]"
45,"[0.0, 1.0, 0.0]","[0.24184370040893555, 0.7650766968727112, 0.0064305649138987064]","[0.057007379829883575, 0.03362215310335159, 0.017670998349785805]","[0, 1, 0]"
54,"[0.0, 1.0, 0.0]","[0.006647007539868355, 0.30623191595077515, 0.7173569202423096]","[0.021988676860928535, 0.2777611017227173, 0.2844701409339905]","[0, 0, 1]"
57,"[0.0, 1.0, 0.0]","[0.1506182998418808, 0.817548394203186, 0.025726165622472763]","[0.02158936858177185, 0.013851200230419636, 0.03035987913608551]","[0, 1, 0]"
58,"[0.0, 0.0, 1.0]","[0.24562323093414307, 0.7644898295402527, 0.003117296379059553]","[0.053618889302015305, 0.027168381959199905, 0.008461693301796913]","[0, 1, 0]"
