indice_muestra,y_true,mean_probs,std_probs,y_pred_threshold
0,"[0.0, 1.0, 0.0]","[0.028398660942912102, 0.9564113616943359, 0.01285349391400814]","[0.045499928295612335, 0.04193010553717613, 0.020847085863351822]","[0, 1, 0]"
1,"[1.0, 0.0, 0.0]","[0.02090715430676937, 0.9589141011238098, 0.015615422278642654]","[0.042648158967494965, 0.04733426123857498, 0.018062105402350426]","[0, 1, 0]"
2,"[1.0, 0.0, 0.0]","[0.2580203115940094, 0.7567754983901978, 0.006653194315731525]","[0.06465346366167068, 0.024722695350646973, 0.031064365059137344]","[0, 1, 0]"
5,"[0.0, 1.0, 0.0]","[0.08138829469680786, 0.8730700612068176, 0.01963738352060318]","[0.06682081520557404, 0.04365624114871025, 0.034456342458724976]","[0, 1, 0]"
6,"[0.0, 1.0, 0.0]","[0.19828517735004425, 0.7995232939720154, 0.008954166434705257]","[0.03972097113728523, 0.0295510645955801, 0.03270633891224861]","[0, 1, 0]"
11,"[0.0, 1.0, 0.0]","[0.03934908285737038, 0.9391586184501648, 0.022304987534880638]","[0.059746380895376205, 0.06890300661325455, 0.026032807305455208]","[0, 1, 0]"
14,"[0.0, 1.0, 0.0]","[0.1418858766555786, 0.8178138136863708, 0.012417581863701344]","[0.051496438682079315, 0.037456076592206955, 0.035175174474716187]","[0, 1, 0]"
21,"[0.0, 1.0, 0.0]","[0.1458394080400467, 0.8031319379806519, 0.12414394319057465]","[0.0025445399805903435, 0.003549356944859028, 0.023941999301314354]","[0, 1, 0]"
29,"[1.0, 0.0, 0.0]","[0.2286345660686493, 0.7685031294822693, 0.013104778714478016]","[0.05833358317613602, 0.022869151085615158, 0.04294854775071144]","[0, 1, 0]"
61,"[0.0, 1.0, 0.0]","[0.02297675609588623, 0.9070443511009216, 0.05880914628505707]","[0.038409166038036346, 0.0627419501543045, 0.030564237385988235]","[0, 1, 0]"
