indice_muestra,y_true,mean_probs,std_probs,y_pred_threshold
2,"[1.0, 0.0, 0.0]","[0.9228793978691101, 0.07323872298002243, 0.005486311390995979]","[0.023957237601280212, 0.02440948225557804, 0.004440747667104006]","[1, 0, 0]"
4,"[1.0, 0.0, 0.0]","[0.21092143654823303, 0.6055513620376587, 0.17777270078659058]","[0.06594038009643555, 0.04399019107222557, 0.03890575096011162]","[0, 1, 0]"
5,"[0.0, 1.0, 0.0]","[0.4682243764400482, 0.37746497988700867, 0.04984302073717117]","[0.06839992105960846, 0.04167119413614273, 0.019642576575279236]","[1, 0, 0]"
7,"[1.0, 0.0, 0.0]","[0.9096055030822754, 0.09333941340446472, 0.006406849715858698]","[0.030543675646185875, 0.03132209926843643, 0.0050527420826256275]","[1, 0, 0]"
11,"[1.0, 0.0, 0.0]","[0.20984922349452972, 0.5956802368164062, 0.16780947148799896]","[0.056512776762247086, 0.05410368740558624, 0.03624551370739937]","[0, 1, 0]"
12,"[1.0, 0.0, 0.0]","[0.7025315165519714, 0.2892991304397583, 0.040595293045043945]","[0.04533398523926735, 0.03856845945119858, 0.020366035401821136]","[1, 0, 0]"
13,"[0.0, 1.0, 0.0]","[0.8281077742576599, 0.15057960152626038, 0.01791110634803772]","[0.050017617642879486, 0.036796875298023224, 0.018674274906516075]","[1, 0, 0]"
15,"[1.0, 0.0, 0.0]","[0.7145480513572693, 0.2763594686985016, 0.03686411678791046]","[0.048807017505168915, 0.03693313151597977, 0.022576821967959404]","[1, 0, 0]"
16,"[1.0, 0.0, 0.0]","[0.8969148397445679, 0.09959332644939423, 0.008637744002044201]","[0.030985167250037193, 0.029513277113437653, 0.006164899095892906]","[1, 0, 0]"
19,"[1.0, 0.0, 0.0]","[0.4544343650341034, 0.4725848138332367, 0.06075940281152725]","[0.07415212690830231, 0.04912973567843437, 0.019224870949983597]","[0, 1, 0]"
